,date,action,price,shares,capital
148,2019-08-21,BUY,4.254130363464356,9731.737407645893,
149,2019-09-25,SELL,4.432425498962402,,43135.20103485592
150,2019-10-07,BUY,4.584124565124512,9409.692171766781,
151,2019-12-05,SELL,5.195012092590332,,48883.46461988101
152,2019-12-11,BUY,5.40904426574707,9037.357103811659,
153,2020-01-31,SELL,5.88414478302002,,53177.11765468229
154,2020-02-07,BUY,6.261440753936768,8492.792592702908,
155,2020-02-28,SELL,6.725380897521973,,57117.265069580244
156,2020-03-27,BUY,6.293575763702393,9075.487006766281,
157,2020-09-10,SELL,12.27293586730957,,111382.86999864387
158,2020-09-30,BUY,13.487842559814451,8258.01973182108,
159,2020-10-22,SELL,13.318875312805176,,109987.53513880979
160,2020-11-06,BUY,14.516090393066406,7576.939255720343,
161,2020-11-13,SELL,13.255077362060549,,100432.91600220662
162,2020-11-17,BUY,13.379934310913086,7506.233862470494,
163,2020-11-23,SELL,13.098572731018066,,98320.95018360043
164,2020-12-04,BUY,13.51949691772461,7272.530241469095,
165,2020-12-10,SELL,12.935171127319336,,94071.42320200776
166,2020-12-18,BUY,13.234064102172852,7108.2792463248325,
167,2020-12-23,SELL,12.972065925598145,,92209.06700088682
168,2021-01-08,BUY,13.238802909851074,6965.060785992478,
169,2021-01-29,SELL,12.952621459960938,,90215.79580657856
170,2021-02-04,BUY,13.625194549560549,6621.248267569748,
171,2021-02-26,SELL,13.675299644470217,,90547.55407944562
172,2021-03-22,BUY,13.153096199035645,6884.124673708717,
173,2021-03-24,SELL,12.611212730407717,,86817.16072278924
174,2021-03-26,BUY,12.806970596313477,6778.899043289738,
175,2021-03-30,SELL,12.83938980102539,,87036.92723859505
176,2021-03-31,BUY,13.314691543579102,6536.909019162962,
177,2021-05-04,SELL,14.315168380737305,,93576.95329887814
178,2021-05-24,BUY,15.572750091552734,6009.019135909586,
179,2021-07-16,SELL,18.119489669799805,,108880.36015874309
180,2021-08-03,BUY,19.769716262817383,5507.431604545777,
181,2021-08-18,SELL,18.99648094177246,,104621.81951386918
182,2021-08-23,BUY,21.907812118530277,4775.548509719824,
183,2021-09-17,SELL,21.85379981994629,,104363.88116185987
184,2021-10-15,BUY,21.81588554382324,4783.848033682436,
185,2021-12-09,SELL,30.429405212402344,,145569.650291477
186,2021-12-29,BUY,29.941375732421875,4861.822368898287,
187,2022-01-05,SELL,27.54913902282715,,133939.02034506973
188,2022-02-09,BUY,26.65192604064941,5025.491221189286,
189,2022-02-23,SELL,22.34250831604004,,112282.07940160783
190,2022-03-18,BUY,26.404924392700195,4252.315883648162,
191,2022-04-07,SELL,24.164005279541016,,102752.9834627503
192,2022-06-01,BUY,18.286705017089844,5618.999342239211,
193,2022-06-13,SELL,15.621865272521973,,87779.25069085053
194,2022-07-19,BUY,16.964702606201172,5174.228675176672,
195,2022-08-22,SELL,17.006637573242188,,87996.23179980674
196,2022-10-24,BUY,12.582500457763672,6993.540917815837,
197,2022-12-21,SELL,16.483604431152344,,115278.76206235436
198,2023-01-12,BUY,16.493593215942383,6989.305517182767,
199,2023-04-17,SELL,26.97811508178711,,188558.28858432628
200,2023-04-19,BUY,27.906295776367188,6756.836883525378,
201,2023-04-25,SELL,26.217788696289062,,177149.32166756067
202,2023-05-01,BUY,28.88442611694336,6133.0393392737815,
203,2023-08-07,SELL,45.38152694702149,,278326.690042396
204,2023-08-23,BUY,47.07920455932617,5911.881745828282,
205,2023-09-12,SELL,44.83864212036133,,265080.74985909124
206,2023-10-04,BUY,44.01022338867188,6023.163016421369,
207,2023-10-19,SELL,42.07158660888672,,253404.02450481502
208,2023-11-06,BUY,45.71902847290039,5542.637999296471,
209,2023-11-30,SELL,46.7373275756836,,259048.08780655076
210,2023-12-15,BUY,48.860130310058594,5301.829654621732,
211,2024-01-05,SELL,49.067012786865234,,260144.9434571058
212,2024-01-08,BUY,52.2210807800293,4981.60780227651,
213,2024-04-03,SELL,88.91382598876953,,442933.8092759102
214,2024-05-01,BUY,82.99414825439453,5336.928188216654,
215,2024-06-28,SELL,123.48047637939452,,659006.4350836114
216,2024-07-01,BUY,124.24009704589844,5304.297491333675,
217,2024-07-02,SELL,122.61087036132812,,650364.5320678311
218,2024-07-09,BUY,131.3166961669922,4952.641598908174,
219,2024-07-17,SELL,117.93313598632812,,584080.5551755832
220,2024-08-15,BUY,122.80079650878906,4756.325461893723,
221,2024-09-04,SELL,106.15882110595705,,504925.9038308842
222,2024-09-19,BUY,117.82327270507812,4285.4513564120525,
223,2024-09-20,SELL,115.95401763916016,,496915.30217316595
224,2024-09-23,BUY,116.21392059326172,4275.8672940079605,
225,2024-11-04,SELL,135.99607849121094,,581501.1841339084
226,2024-11-07,BUY,148.8209991455078,3907.386642158968,
227,2024-11-26,SELL,136.86570739746094,,534787.2368544767
228,2024-12-27,BUY,136.96511840820312,3904.5506116427905,
229,2025-01-14,SELL,131.7168426513672,,514295.07853805297
230,2025-01-22,BUY,147.0218505859375,3498.0860089054327,
231,2025-01-28,SELL,128.94775390625,,451070.333819234
232,2025-02-12,BUY,131.0970458984375,3440.736064859034,
233,2025-02-27,SELL,120.11064910888672,,413269.0421625751
234,2025-03-24,BUY,121.38140106201172,3404.714713677122,
235,2025-03-31,SELL,108.35446166992188,,368916.0299401467
