,date,action,price,shares,capital
261,2022-07-01,SELL,107.8461685180664,,122388.54619095728
262,2022-07-07,BUY,117.80931091308594,1038.869892730717,
263,2022-07-15,SELL,110.86122131347656,,115170.38509392769
264,2022-08-02,BUY,114.18624877929688,1008.6186938020268,
265,2022-08-23,SELL,112.92665100097656,,113899.93122804232
266,2022-10-19,BUY,98.81330871582033,1152.6780421411654,
267,2022-10-27,SELL,91.46405029296876,,105428.60241800032
268,2022-11-15,BUY,97.633056640625,1079.8453520314306,
269,2022-12-08,SELL,92.94183349609376,,100362.80691003597
270,2023-01-12,BUY,90.38297271728516,1110.4171935566603,
271,2023-02-13,SELL,93.83446502685548,,104195.40331401146
272,2023-03-08,BUY,93.4774169921875,1114.6585631770263,
273,2023-03-13,SELL,90.36315155029295,,100724.06067119743
274,2023-03-15,BUY,95.32215881347656,1056.6699487817007,
275,2023-04-26,SELL,102.85987091064452,,108688.93452684308
276,2023-04-27,BUY,106.7080535888672,1018.5635560892898,
277,2023-05-05,SELL,104.70462036132812,,106648.31045421344
278,2023-05-09,BUY,106.47002410888672,1001.6745215079917,
279,2023-06-13,SELL,122.81492614746094,,123020.58238279728
280,2023-06-15,BUY,124.06461334228516,991.5847804513969,
281,2023-06-21,SELL,119.56182861328124,,118555.68957586802
282,2023-07-17,BUY,123.6282196044922,958.9694808770031,
283,2023-08-21,SELL,127.31771087646484,,122093.79910565187
284,2023-08-25,BUY,128.8153533935547,947.8202395069535,
285,2023-09-22,SELL,129.1822967529297,,122441.59544842016
286,2023-10-06,BUY,136.4522247314453,897.322089759989,
287,2023-10-25,SELL,124.5803451538086,,111788.69565643625
288,2023-11-10,BUY,131.5031280517578,850.083928136202,
289,2023-12-04,SELL,128.21034240722656,,108989.55150122264
290,2023-12-20,BUY,137.20599365234375,794.3497845829046,
291,2024-02-05,SELL,142.50221252441406,,113196.6018213556
292,2024-02-12,BUY,146.3206787109375,773.6199887712394,
293,2024-02-15,SELL,141.59967041015625,,109544.33543271628
294,2024-03-14,BUY,141.927001953125,771.8357601106524,
295,2024-06-05,SELL,173.9721221923828,,134277.9051704211
296,2024-06-06,BUY,175.2812957763672,766.0709294489681,
297,2024-07-18,SELL,176.4357147216797,,135162.27196483014
298,2024-08-22,BUY,162.64373779296875,831.0327455513835,
299,2024-09-03,SELL,156.24920654296875,,129848.20710362852
300,2024-09-19,BUY,161.2091064453125,805.4644676520018,
301,2024-10-11,SELL,162.30276489257812,,130729.11012264845
302,2024-10-16,BUY,164.21176147460938,796.1007722510908,
303,2024-10-22,SELL,164.19186401367188,,130713.26973863026
304,2024-10-28,BUY,165.76278686523438,788.556178443721,
305,2024-11-21,SELL,166.66757202148438,,131426.74366375536
306,2024-12-09,BUY,174.56297302246094,752.8901541270424,
307,2025-01-14,SELL,188.78721618652344,,142136.0362918869
308,2025-01-17,BUY,195.0980224609375,728.5365299914579,
309,2025-02-07,SELL,184.48709106445312,,134405.58515231477
310,2025-04-25,BUY,161.40036010742188,832.7465010788054,
311,2025-05-09,SELL,152.22218322753906,,126762.49046930997
312,2025-05-14,BUY,164.79856872558594,769.196549761232,
313,2025-06-23,SELL,164.8184814453125,,126777.80726462
314,2025-06-30,BUY,175.83364868164062,721.0099330541691,
315,2025-10-02,SELL,245.356689453125,,176904.6102369902
316,2025-10-17,BUY,252.95635986328125,699.3483395025302,
317,2025-12-17,SELL,296.5112609863281,,207364.65801458992
318,2025-12-29,BUY,313.33941650390625,661.7892518224078,
319,2026-02-09,SELL,324.09185791015625,,214480.5081680964
320,2026-03-20,BUY,301.0,712.5598278009846,
321,2026-03-23,SELL,302.0599975585937,,215235.81984591737
322,2026-04-08,BUY,317.32000732421875,678.2926222045689,
323,2026-05-26,SELL,388.8800048828125,,263774.4382348885
